eV,eps1,n,R
0.5 ,   11.05,	3.324,	0.289
0.6 ,   11.14,	3.338,	0.290
0.7 ,   11.25,	3.354,	0.292
0.8 ,   11.38,	3.374,	0.295
0.9 ,   11.54,	3.397,	0.297
1.0 ,   11.72,	3.423,	0.300
1.1 ,   11.93,	3.455,	0.304
1.2 ,   12.19,	3.492,	0.308
1.3 ,   12.52,	3.539,	0.313
1.4 ,   13.06,	3.614,	0.321
1.41,	13.16,	3.627,	0.322
1.42,	13.34,	3.653,	0.325
1.44,	13.21,	3.635,	0.323
1.46,	13.22,	3.636,	0.323
1.48,	13.22,	3.637,	0.324
1.50,	13.38,	3.658,	0.326
1.52,	13.45,	3.668,	0.327
1.54,	13.48,	3.672,	0.327
1.56,	13.53,	3.679,	0.328
1.58,	13.56,	3.684,	0.329
1.60,	13.60,	3.689,	0.329
1.62,	13.66,	3.698,	0.330
1.64,	13.74,	3.708,	0.331
1.66,	13.79,	3.715,	0.332
1.68,	13.86,	3.724,	0.333
1.70,	13.94,	3.735,	0.334
1.72,	14.00,	3.743,	0.335
1.74,	14.07,	3.754,	0.336
1.76,	14.17,	3.767,	0.337
1.78,	14.22,	3.774,	0.338
1.80,	14.27,	3.780,	0.339
1.82,	14.31,	3.786,	0.340
1.84,	14.37,	3.794,	0.340
1.86,	14.43,	3.802,	0.341
1.88,	14.49,	3.810,	0.342
1.90,	14.56,	3.820,	0.343
1.92,	14.64,	3.830,	0.344
1.94,	14.71,	3.840,	0.345
1.96,	14.77,	3.848,	0.346
1.98,	14.88,	3.862,	0.348
2.00,	14.97,	3.874,	0.349


